zip4,province,city
0100,内蒙古自治区,呼和浩特
0102,内蒙古自治区,呼和浩特
0112,内蒙古自治区,锡林郭勒盟
0114,内蒙古自治区,锡林郭勒盟
0116,内蒙古自治区,呼和浩特
0118,内蒙古自治区,乌兰察布
0120,内蒙古自治区,乌兰察布
0121,内蒙古自治区,乌兰察布
0123,内蒙古自治区,乌兰察布
0132,内蒙古自治区,锡林郭勒盟
0133,内蒙古自治区,乌兰察布
0135,内蒙古自治区,乌兰察布
0137,内蒙古自治区,乌兰察布
0140,内蒙古自治区,包头
0141,内蒙古自治区,包头
0143,内蒙古自治区,包头
0144,内蒙古自治区,巴彦淖尔
0145,内蒙古自治区,包头
0150,内蒙古自治区,巴彦淖尔
0151,内蒙古自治区,巴彦淖尔
0153,内蒙古自治区,巴彦淖尔
0155,内蒙古自治区,巴彦淖尔
0160,内蒙古自治区,乌海
0162,内蒙古自治区,鄂尔多斯
0170,内蒙古自治区,鄂尔多斯
0171,内蒙古自治区,鄂尔多斯
0173,内蒙古自治区,鄂尔多斯
0174,内蒙古自治区,鄂尔多斯
0210,内蒙古自治区,呼伦贝尔
0212,内蒙古自治区,呼伦贝尔
0214,内蒙古自治区,呼伦贝尔
0220,台湾省 ,台东县
0221,内蒙古自治区,呼伦贝尔
0223,内蒙古自治区,呼伦贝尔
0240,内蒙古自治区,赤峰
0243,内蒙古自治区,赤峰
0245,内蒙古自治区,赤峰
0252,内蒙古自治区,赤峰
0254,内蒙古自治区,赤峰
0260,内蒙古自治区,锡林郭勒盟
0261,内蒙古自治区,巴彦淖尔
0263,内蒙古自治区,锡林郭勒盟
0272,内蒙古自治区,锡林郭勒盟
0280,内蒙古自治区,通辽
0282,内蒙古自治区,通辽
0284,内蒙古自治区,通辽
0292,内蒙古自治区,通辽
0294,内蒙古自治区,锡林郭勒盟
0300,山西省 ,太原
0301,山西省 ,太原
0303,山西省 ,太原
0305,山西省 ,吕梁
0306,山西省 ,晋中
0308,台湾省 ,台东县
0309,山西省 ,晋中
0313,山西省 ,晋中
0314,山西省 ,临汾
0316,山西省 ,临汾
0320,山西省 ,晋中
0322,山西省 ,吕梁
0324,山西省 ,吕梁
0327,山西省 ,晋中
0330,山西省 ,吕梁
0332,山西省 ,吕梁
0334,山西省 ,吕梁
0340,山西省 ,忻州
0342,山西省 ,忻州
0351,山西省 ,忻州
0353,山西省 ,吕梁
0355,山西省 ,忻州
0360,山西省 ,朔州
0361,山西省 ,忻州
0363,山西省 ,忻州
0365,山西省 ,忻州
0369,山西省 ,朔州
0370,山西省 ,大同
0371,山西省 ,大同
0373,山西省 ,大同
0375,山西省 ,大同
0376,山西省 ,朔州
0382,山西省 ,大同
0410,山西省 ,临汾
0412,山西省 ,临汾
0414,山西省 ,临汾
0421,山西省 ,临汾
0423,山西省 ,临汾
0425,山西省 ,临汾
0430,山西省 ,临汾
0431,山西省 ,运城
0433,山西省 ,运城
0435,山西省 ,临汾
0437,山西省 ,运城
0440,山西省 ,运城
0442,山西省 ,运城
0444,山西省 ,运城
0446,山西省 ,运城
0450,山西省 ,阳泉
0452,山西省 ,阳泉
0454,山西省 ,晋中
0460,山西省 ,长治
0462,山西省 ,长治
0464,山西省 ,长治
0466,山西省 ,长治
0467,山西省 ,晋城
0471,山西省 ,长治
0474,山西省 ,长治
0476,山西省 ,长治
0480,山西省 ,晋城
0482,山西省 ,晋城
